height,age,Seed
4.51,3.0,301
10.89,5.0,301
28.72,10.0,301
41.74,15.0,301
52.7,20.0,301
60.92,25.0,301
4.55,3.0,303
10.92,5.0,303
29.07,10.0,303
42.83,15.0,303
53.88,20.0,303
63.39,25.0,303
4.79,3.0,305
11.37,5.0,305
30.21,10.0,305
44.4,15.0,305
55.82,20.0,305
64.1,25.0,305
3.91,3.0,307
9.48,5.0,307
25.66,10.0,307
39.07,15.0,307
50.78,20.0,307
59.07,25.0,307
4.81,3.0,309
11.2,5.0,309
28.66,10.0,309
41.66,15.0,309
53.31,20.0,309
63.05,25.0,309
3.88,3.0,311
9.4,5.0,311
25.99,10.0,311
39.55,15.0,311
51.46,20.0,311
59.64,25.0,311
4.32,3.0,315
10.43,5.0,315
27.16,10.0,315
40.85,15.0,315
51.33,20.0,315
60.07,25.0,315
4.57,3.0,319
10.57,5.0,319
27.9,10.0,319
41.13,15.0,319
52.43,20.0,319
60.69,25.0,319
3.77,3.0,321
9.03,5.0,321
25.45,10.0,321
38.98,15.0,321
49.76,20.0,321
60.28,25.0,321
4.33,3.0,323
10.79,5.0,323
28.97,10.0,323
42.44,15.0,323
53.17,20.0,323
61.62,25.0,323
4.38,3.0,325
10.48,5.0,325
27.93,10.0,325
40.2,15.0,325
50.06,20.0,325
58.49,25.0,325
4.12,3.0,327
9.92,5.0,327
26.54,10.0,327
37.82,15.0,327
48.43,20.0,327
56.81,25.0,327
3.93,3.0,329
9.34,5.0,329
26.08,10.0,329
37.79,15.0,329
48.31,20.0,329
56.43,25.0,329
3.46,3.0,331
9.05,5.0,331
25.85,10.0,331
39.15,15.0,331
49.12,20.0,331
59.49,25.0,331
