weight,Time,Chick,Diet
42.0,0.0,1,1
51.0,2.0,1,1
59.0,4.0,1,1
64.0,6.0,1,1
76.0,8.0,1,1
93.0,10.0,1,1
106.0,12.0,1,1
125.0,14.0,1,1
149.0,16.0,1,1
171.0,18.0,1,1
199.0,20.0,1,1
205.0,21.0,1,1
40.0,0.0,2,1
49.0,2.0,2,1
58.0,4.0,2,1
72.0,6.0,2,1
84.0,8.0,2,1
103.0,10.0,2,1
122.0,12.0,2,1
138.0,14.0,2,1
162.0,16.0,2,1
187.0,18.0,2,1
209.0,20.0,2,1
215.0,21.0,2,1
43.0,0.0,3,1
39.0,2.0,3,1
55.0,4.0,3,1
67.0,6.0,3,1
84.0,8.0,3,1
99.0,10.0,3,1
115.0,12.0,3,1
138.0,14.0,3,1
163.0,16.0,3,1
187.0,18.0,3,1
198.0,20.0,3,1
202.0,21.0,3,1
42.0,0.0,4,1
49.0,2.0,4,1
56.0,4.0,4,1
67.0,6.0,4,1
74.0,8.0,4,1
87.0,10.0,4,1
102.0,12.0,4,1
108.0,14.0,4,1
136.0,16.0,4,1
154.0,18.0,4,1
160.0,20.0,4,1
157.0,21.0,4,1
41.0,0.0,5,1
42.0,2.0,5,1
48.0,4.0,5,1
60.0,6.0,5,1
79.0,8.0,5,1
106.0,10.0,5,1
141.0,12.0,5,1
164.0,14.0,5,1
197.0,16.0,5,1
199.0,18.0,5,1
220.0,20.0,5,1
223.0,21.0,5,1
41.0,0.0,6,1
49.0,2.0,6,1
59.0,4.0,6,1
74.0,6.0,6,1
97.0,8.0,6,1
124.0,10.0,6,1
141.0,12.0,6,1
148.0,14.0,6,1
155.0,16.0,6,1
160.0,18.0,6,1
160.0,20.0,6,1
157.0,21.0,6,1
41.0,0.0,7,1
49.0,2.0,7,1
57.0,4.0,7,1
71.0,6.0,7,1
89.0,8.0,7,1
112.0,10.0,7,1
146.0,12.0,7,1
174.0,14.0,7,1
218.0,16.0,7,1
250.0,18.0,7,1
288.0,20.0,7,1
305.0,21.0,7,1
42.0,0.0,8,1
50.0,2.0,8,1
61.0,4.0,8,1
71.0,6.0,8,1
84.0,8.0,8,1
93.0,10.0,8,1
110.0,12.0,8,1
116.0,14.0,8,1
126.0,16.0,8,1
134.0,18.0,8,1
125.0,20.0,8,1
42.0,0.0,9,1
51.0,2.0,9,1
59.0,4.0,9,1
68.0,6.0,9,1
85.0,8.0,9,1
96.0,10.0,9,1
90.0,12.0,9,1
92.0,14.0,9,1
93.0,16.0,9,1
100.0,18.0,9,1
100.0,20.0,9,1
98.0,21.0,9,1
41.0,0.0,10,1
44.0,2.0,10,1
52.0,4.0,10,1
63.0,6.0,10,1
74.0,8.0,10,1
81.0,10.0,10,1
89.0,12.0,10,1
96.0,14.0,10,1
101.0,16.0,10,1
112.0,18.0,10,1
120.0,20.0,10,1
124.0,21.0,10,1
43.0,0.0,11,1
51.0,2.0,11,1
63.0,4.0,11,1
84.0,6.0,11,1
112.0,8.0,11,1
139.0,10.0,11,1
168.0,12.0,11,1
177.0,14.0,11,1
182.0,16.0,11,1
184.0,18.0,11,1
181.0,20.0,11,1
175.0,21.0,11,1
41.0,0.0,12,1
49.0,2.0,12,1
56.0,4.0,12,1
62.0,6.0,12,1
72.0,8.0,12,1
88.0,10.0,12,1
